Family	anno.acc	anno.desc	rel.freq
OG0003388	PF08263.12	Leucine rich repeat N-terminal domain	1
OG0003388	PF12799.7	Leucine Rich repeats (2 copies)	1
OG0003388	PF13516.6	Leucine Rich repeat	1
OG0003388	PF13855.6	Leucine rich repeat	1
OG0001972	PF00160.21	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	1
OG0001891	PF07887.11	Calmodulin binding protein-like	1
OG0001165	PF00400.32	WD domain, G-beta repeat	1
OG0001112	PF06886.11	Targeting protein for Xklp2 (TPX2)	0.882352941176471
OG0007129	PF01169.19	Uncharacterized protein family UPF0016	1
OG0001875	PF00237.19	Ribosomal protein L22p/L17e	1
OG0000793	PF02840.15	Prp18 domain	0.95
OG0000607	PF00044.24	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	1
OG0000607	PF02800.20	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain	1
OG0002479	PF00515.28	Tetratricopeptide repeat	1
OG0002479	PF07719.17	Tetratricopeptide repeat	1
OG0002479	PF13176.6	Tetratricopeptide repeat	1
OG0002479	PF13181.6	Tetratricopeptide repeat	1
OG0002479	PF13374.6	Tetratricopeptide repeat	1
OG0002479	PF13414.6	TPR repeat	1
OG0002479	PF13424.6	Tetratricopeptide repeat	1
OG0000237	PF05699.14	hAT family C-terminal dimerisation region	1
OG0001428	PF03372.23	Endonuclease/Exonuclease/phosphatase family	0.9375
OG0001382	PF00069.25	Protein kinase domain	1
OG0001382	PF07714.17	Protein tyrosine kinase	1
OG0000504	PF00588.19	SpoU rRNA Methylase family	0.0416666666666667
OG0000504	PF08488.11	Wall-associated kinase	0.0416666666666667
OG0000504	PF18714.1	DNA polymerase II intein Domain IV	0.0416666666666667
OG0000490	PF05699.14	hAT family C-terminal dimerisation region	1
OG0004736	PF03638.15	Tesmin/TSO1-like CXC domain, cysteine-rich domain	0.9
OG0002600	PF03007.16	Wax ester synthase-like Acyl-CoA acyltransferase domain	1
OG0000134	PF06696.11	Streptococcal surface antigen repeat	0.0434782608695652
OG0003118	PF04576.15	Zein-binding	1
OG0000149	PF10536.9	Plant mobile domain	0.627906976744186
OG0000149	PF16515.5	Clathrin-binding domain of Huntingtin-interacting protein 1	0.627906976744186
OG0000597	PF01565.23	FAD binding domain	0.909090909090909
OG0003619	PF00931.22	NB-ARC domain	1
OG0013371	PF00149.28	Calcineurin-like phosphoesterase	1
OG0002071	PF03931.15	Skp1 family, tetramerisation domain	1
OG0004500	PF05514.11	HR-like lesion-inducing	1
OG0002811	PF00676.20	Dehydrogenase E1 component	1
OG0001127	PF00643.24	B-box zinc finger	0.882352941176471
OG0001127	PF06203.14	CCT motif	0.882352941176471
OG0000635	PF14244.6	gag-polypeptide of LTR copia-type	0.954545454545455
OG0000642	PF00421.19	Photosystem II protein	1
OG0002748	PF04386.13	Stringent starvation protein B	0.0833333333333333
OG0002748	PF05918.11	Apoptosis inhibitory protein 5 (API5)	0.0833333333333333
OG0002748	PF13161.6	Protein of unknown function (DUF3996)	0.0833333333333333
OG0002748	PF18240.1	Photosystem II Psb31 protein	0.0833333333333333
OG0002632	PF03896.16	Translocon-associated protein (TRAP), alpha subunit	1
OG0000092	PF07723.13	Leucine Rich Repeat	0.727272727272727
OG0000982	PF13516.6	Leucine Rich repeat	0.944444444444444
OG0002378	PF00076.22	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	0.769230769230769
OG0002378	PF01363.21	FYVE zinc finger	0.769230769230769
OG0002378	PF05290.11	Baculovirus immediate-early protein (IE-0)	0.769230769230769
OG0002378	PF13639.6	Ring finger domain	0.769230769230769
OG0002378	PF13920.6	Zinc finger, C3HC4 type (RING finger)	0.769230769230769
OG0002378	PF14447.6	Prokaryotic RING finger family 4	0.769230769230769
OG0002378	PF14569.6	Zinc-binding RING-finger	0.769230769230769
OG0002378	PF14570.6	RING/Ubox like zinc-binding domain	0.769230769230769
OG0001253	PF03380.14	Caenorhabditis protein of unknown function, DUF282	0.294117647058824
OG0000001	PF00078.27	Reverse transcriptase (RNA-dependent DNA polymerase)	0.627329192546584
OG0002735	PF00083.24	Sugar (and other) transporter	1
OG0002735	PF07690.16	Major Facilitator Superfamily	1
OG0000098	PF09331.11	Domain of unknown function (DUF1985)	0.388888888888889
OG0001764	PF00072.24	Response regulator receiver domain	0.857142857142857
OG0001764	PF00249.31	Myb-like DNA-binding domain	0.857142857142857
OG0001713	PF00931.22	NB-ARC domain	1
OG0001713	PF13173.6	AAA domain	1
OG0000224	PF00560.33	Leucine Rich Repeat	1
OG0000224	PF12799.7	Leucine Rich repeats (2 copies)	1
OG0000224	PF13516.6	Leucine Rich repeat	1
OG0000224	PF13855.6	Leucine rich repeat	1
OG0002510	PF02837.18	Glycosyl hydrolases family 2, sugar binding domain	0.0769230769230769
OG0002510	PF17852.1	Dynein heavy chain AAA lid domain	0.0769230769230769
OG0002830	PF01504.18	Phosphatidylinositol-4-phosphate 5-Kinase	1
OG0001092	PF00225.23	Kinesin motor domain	1
OG0001092	PF00307.31	Calponin homology (CH) domain	1
OG0001092	PF16796.5	Microtubule binding	1
OG0010398	PF00176.23	SNF2 family N-terminal domain	1
OG0010398	PF00271.31	Helicase conserved C-terminal domain	1
OG0010398	PF04851.15	Type III restriction enzyme, res subunit	1
OG0010398	PF11496.8	Class II histone deacetylase complex subunits 2 and 3	1
OG0010398	PF14619.6	Snf2-ATP coupling, chromatin remodelling complex	1
OG0009568	PF00787.24	PX domain	1
OG0009568	PF09325.10	Vps5 C terminal like	1
OG0001076	PF08216.11	Catenin-beta-like, Arm-motif containing nuclear	0.294117647058824
OG0000354	PF03478.18	Protein of unknown function (DUF295)	0.964285714285714
OG0003305	PF00056.23	lactate/malate dehydrogenase, NAD binding domain	1
OG0003305	PF01073.19	3-beta hydroxysteroid dehydrogenase/isomerase family	1
OG0003305	PF01118.24	Semialdehyde dehydrogenase, NAD binding domain	1
OG0003305	PF02866.18	lactate/malate dehydrogenase, alpha/beta C-terminal domain	1
OG0002714	PF01936.18	NYN domain	1
OG0001205	PF00271.31	Helicase conserved C-terminal domain	1
OG0000382	PF00069.25	Protein kinase domain	1
OG0000382	PF07714.17	Protein tyrosine kinase	1
OG0002555	PF04564.15	U-box domain	0.916666666666667
OG0002555	PF11789.8	Zinc-finger of the MIZ type in Nse subunit	0.916666666666667
OG0002555	PF15906.5	Zinc-finger of nitric oxide synthase-interacting protein	0.916666666666667
OG0001403	PF04153.18	NOT2 / NOT3 / NOT5 family	1
OG0000388	PF03564.15	Protein of unknown function (DUF1759)	0.037037037037037
OG0000388	PF03646.15	FlaG protein	0.037037037037037
OG0000388	PF04554.13	Extensin-like region	0.037037037037037
OG0000388	PF04949.13	Transcriptional activator	0.037037037037037
OG0000388	PF05728.12	Uncharacterised protein family (UPF0227)	0.037037037037037
OG0000388	PF09726.9	Macoilin family	0.037037037037037
OG0000388	PF13793.6	N-terminal domain of ribose phosphate pyrophosphokinase	0.037037037037037
OG0000388	PF14392.6	Zinc knuckle	0.037037037037037
OG0000388	PF14673.6	Domain of unknown function (DUF4459)	0.037037037037037
OG0000388	PF15981.5	Envelope glycoprotein GP 5 of equine arteritis virus	0.037037037037037
OG0000388	PF18524.1	High potential iron-sulfur protein like	0.037037037037037
OG0002425	PF04669.13	Polysaccharide biosynthesis	1
OG0001044	PF00164.25	Ribosomal protein S12/S23	1
OG0000168	PF12697.7	Alpha/beta hydrolase family	0.95
OG0000186	PF13650.6	Aspartyl protease	0.564102564102564
OG0000012	PF04434.17	SWIM zinc finger	0.260416666666667
OG0000012	PF10551.9	MULE transposase domain	0.260416666666667
OG0000065	PF00125.24	Core histone H2A/H2B/H3/H4	0.984126984126984
OG0000065	PF00808.23	Histone-like transcription factor (CBF/NF-Y) and archaeal histone	0.984126984126984
OG0000065	PF02291.15	Transcription initiation factor IID, 31kD subunit	0.984126984126984
OG0000065	PF02969.17	TATA box binding protein associated factor (TAF)	0.984126984126984
OG0000065	PF07524.13	Bromodomain associated	0.984126984126984
OG0000065	PF15511.6	Centromere kinetochore component CENP-T histone fold	0.984126984126984
OG0000065	PF15630.6	CENP-S protein	0.984126984126984
OG0004610	PF01764.25	Lipase (class 3)	1
OG0004610	PF12697.7	Alpha/beta hydrolase family	1
OG0000455	PF00005.27	ABC transporter	1
OG0000455	PF01061.24	ABC-2 type transporter	1
OG0000455	PF01926.23	50S ribosome-binding GTPase	1
OG0000455	PF02463.19	RecF/RecN/SMC N terminal domain	1
OG0000455	PF03193.16	RsgA GTPase	1
OG0000455	PF03308.16	Methylmalonyl Co-A mutase-associated GTPase MeaB	1
OG0000455	PF13191.6	AAA ATPase domain	1
OG0000455	PF13304.6	AAA domain, putative AbiEii toxin, Type IV TA system	1
OG0000455	PF13476.6	AAA domain	1
OG0000455	PF13521.6	AAA domain	1
OG0000455	PF13555.6	P-loop containing region of AAA domain	1
OG0001330	PF00847.20	AP2 domain	1
OG0000908	PF00146.21	NADH dehydrogenase	0.0555555555555556
OG0000908	PF02810.15	SEC-C motif	0.0555555555555556
OG0000908	PF03181.15	BURP domain	0.0555555555555556
OG0000908	PF05695.12	Plant protein of unknown function (DUF825)	0.0555555555555556
OG0000908	PF12066.8	Domain of unknown function (DUF3546)	0.0555555555555556
OG0000908	PF12526.8	Protein of unknown function (DUF3729)	0.0555555555555556
OG0000908	PF14583.6	Oligogalacturonate lyase	0.0555555555555556
OG0000115	PF14372.6	Domain of unknown function (DUF4413)	0.84
OG0002185	PF00400.32	WD domain, G-beta repeat	1
OG0002185	PF08662.11	Eukaryotic translation initiation factor eIF2A	1
OG0002185	PF12894.7	Anaphase-promoting complex subunit 4 WD40 domain	1
OG0009904	PF08268.12	F-box associated domain	0.857142857142857
OG0002871	PF00587.25	tRNA synthetase class II core domain (G, H, P, S and T)	1
OG0002871	PF03129.20	Anticodon binding domain	1
OG0010600	PF01521.20	Iron-sulphur cluster biosynthesis	1
OG0000368	PF00719.19	Inorganic pyrophosphatase	1
OG0000212	PF00319.18	SRF-type transcription factor (DNA-binding and dimerisation domain)	1
OG0000758	PF05605.12	Drought induced 19 protein (Di19), zinc-binding	0.95
OG0000111	PF14019.6	Protein of unknown function (DUF4235)	0.211538461538462
OG0002625	PF00168.30	C2 domain	1
OG0001349	PF00004.29	ATPase family associated with various cellular activities (AAA)	1
OG0001349	PF00910.22	RNA helicase	1
OG0001349	PF01078.21	Magnesium chelatase, subunit ChlI	1
OG0001349	PF01695.17	IstB-like ATP binding protein	1
OG0001349	PF05496.12	Holliday junction DNA helicase RuvB P-loop domain	1
OG0001349	PF05673.13	Protein of unknown function (DUF815)	1
OG0001349	PF05729.12	NACHT domain	1
OG0001349	PF06068.13	TIP49 P-loop domain	1
OG0001349	PF07724.14	AAA domain (Cdc48 subfamily)	1
OG0001349	PF07728.14	AAA domain (dynein-related subfamily)	1
OG0001349	PF12775.7	P-loop containing dynein motor region	1
OG0001349	PF13191.6	AAA ATPase domain	1
OG0001349	PF13238.6	AAA domain	1
OG0001349	PF13401.6	AAA domain	1
OG0001349	PF13479.6	AAA domain	1
OG0001349	PF13521.6	AAA domain	1
OG0001349	PF13671.6	AAA domain	1
OG0000995	PF00916.20	Sulfate permease family	1
OG0000995	PF01740.21	STAS domain	1
OG0002262	PF00400.32	WD domain, G-beta repeat	1
OG0002262	PF12894.7	Anaphase-promoting complex subunit 4 WD40 domain	1
OG0002262	PF16529.5	WD40 region of Ge1, enhancer of mRNA-decapping protein	1
OG0000426	PF02042.15	RWP-RK domain	0.615384615384615
OG0001609	PF00626.22	Gelsolin repeat	1
OG0004224	PF03283.13	Pectinacetylesterase	1
OG0003376	PF06999.12	Sucrase/ferredoxin-like	1
OG0005793	PF03110.14	SBP domain	1
OG0001102	PF14111.6	Domain of unknown function (DUF4283)	0.647058823529412
OG0002153	PF02172.16	KIX domain	0.153846153846154
OG0001812	PF00010.26	Helix-loop-helix DNA-binding domain	0.928571428571429
OG0002563	PF00023.30	Ankyrin repeat	1
OG0002563	PF00612.27	IQ calmodulin-binding motif	1
OG0002563	PF12796.7	Ankyrin repeats (3 copies)	1
OG0002563	PF13606.6	Ankyrin repeat	1
OG0002563	PF13637.6	Ankyrin repeats (many copies)	1
OG0002563	PF13857.6	Ankyrin repeats (many copies)	1
OG0000220	PF13961.6	Domain of unknown function (DUF4219)	0.777777777777778
OG0003918	PF01849.18	NAC domain	1
OG0001201	PF03106.15	WRKY DNA -binding domain	0.941176470588235
OG0001201	PF10533.9	Plant zinc cluster domain	0.941176470588235
OG0000059	PF00179.26	Ubiquitin-conjugating enzyme	1
OG0000059	PF05773.22	RWD domain	1
OG0000154	PF00098.23	Zinc knuckle	0.714285714285714
OG0004651	PF16978.5	SAPK-interacting protein 1 (Sin1), middle CRIM domain	1
OG0006086	PF01486.17	K-box region	1
OG0002172	PF00481.21	Protein phosphatase 2C	1
OG0002172	PF13672.6	Protein phosphatase 2C	1
OG0001154	PF00069.25	Protein kinase domain	1
OG0001154	PF07714.17	Protein tyrosine kinase	1
OG0001154	PF12330.8	Haspin like kinase domain	1
OG0001154	PF14531.6	Kinase-like	1
OG0001154	PF17667.1	Fungal protein kinase	1
OG0005285	PF00326.21	Prolyl oligopeptidase family	0.888888888888889
OG0005285	PF00561.20	alpha/beta hydrolase fold	0.888888888888889
OG0005285	PF06028.11	Alpha/beta hydrolase of unknown function (DUF915)	0.888888888888889
OG0005285	PF07819.13	PGAP1-like protein	0.888888888888889
OG0005285	PF12146.8	Serine aminopeptidase, S33	0.888888888888889
OG0005285	PF12697.7	Alpha/beta hydrolase family	0.888888888888889
OG0001059	PF10805.8	Protein of unknown function (DUF2730)	0.111111111111111
OG0001059	PF11800.8	Replication protein C C-terminal region	0.111111111111111
OG0002445	PF00571.28	CBS domain	1
OG0002445	PF00654.20	Voltage gated chloride channel	1
OG0000306	PF00931.22	NB-ARC domain	0.96551724137931
OG0001934	PF06090.12	Inositol-pentakisphosphate 2-kinase	1
OG0003357	PF00249.31	Myb-like DNA-binding domain	0.0909090909090909
OG0003357	PF00538.19	linker histone H1 and H5 family	0.0909090909090909
OG0003357	PF13921.6	Myb-like DNA-binding domain	0.0909090909090909
OG0003054	PF05470.12	Eukaryotic translation initiation factor 3 subunit 8 N-terminus	0.25
OG0000191	PF01585.23	G-patch domain	0.578947368421053
OG0001350	PF00010.26	Helix-loop-helix DNA-binding domain	0.75
OG0003563	PF00514.23	Armadillo/beta-catenin-like repeat	1
OG0000448	PF00155.21	Aminotransferase class I and II	1
OG0000233	PF07727.14	Reverse transcriptase (RNA-dependent DNA polymerase)	0.942857142857143
OG0001016	PF00004.29	ATPase family associated with various cellular activities (AAA)	1
OG0001016	PF00931.22	NB-ARC domain	1
OG0001016	PF13191.6	AAA ATPase domain	1
OG0001016	PF13401.6	AAA domain	1
OG0010361	PF00515.28	Tetratricopeptide repeat	1
OG0010361	PF07719.17	Tetratricopeptide repeat	1
OG0010361	PF13181.6	Tetratricopeptide repeat	1
OG0010361	PF13371.6	Tetratricopeptide repeat	1
OG0010361	PF13424.6	Tetratricopeptide repeat	1
OG0010361	PF13431.6	Tetratricopeptide repeat	1
OG0000704	PF03936.16	Terpene synthase family, metal binding domain	1
OG0000239	PF00931.22	NB-ARC domain	0.882352941176471
OG0002344	PF02577.14	Bifunctional nuclease	1
OG0000470	PF01585.23	G-patch domain	0.88
OG0003901	PF00225.23	Kinesin motor domain	0.818181818181818
OG0003901	PF16796.5	Microtubule binding	0.818181818181818
OG0000037	PF08284.11	Retroviral aspartyl protease	0.773333333333333
OG0003066	PF00332.18	Glycosyl hydrolases family 17	1
OG0000494	PF05553.11	Cotton fibre expressed protein	0.958333333333333
OG0012651	PF02183.18	Homeobox associated leucine zipper	1
OG0012651	PF07989.11	Centrosomin N-terminal motif 1	1
OG0003451	PF00501.28	AMP-binding enzyme	1
OG0003451	PF03321.13	GH3 auxin-responsive promoter	1
OG0003451	PF13193.6	AMP-binding enzyme C-terminal domain	1
OG0000030	PF00176.23	SNF2 family N-terminal domain	0.772151898734177
OG0000047	PF00646.33	F-box domain	0.71830985915493
OG0002797	PF00232.18	Glycosyl hydrolase family 1	1
OG0000850	PF00940.19	DNA-dependent RNA polymerase	0.947368421052632
OG0000850	PF14700.6	DNA-directed RNA polymerase N-terminal	0.947368421052632
OG0001381	PF08387.10	FBD	0.875
OG0003898	PF03018.14	Dirigent-like protein	1
OG0005050	PF00069.25	Protein kinase domain	1
OG0005050	PF00954.20	S-locus glycoprotein domain	1
OG0005050	PF01453.24	D-mannose binding lectin	1
OG0005050	PF07714.17	Protein tyrosine kinase	1
OG0005050	PF08276.11	PAN-like domain	1
OG0002857	PF00331.20	Glycosyl hydrolase family 10	1
OG0002857	PF02018.17	Carbohydrate binding domain	1
OG0000243	PF00350.23	Dynamin family	1
OG0000243	PF01031.20	Dynamin central region	1
OG0000243	PF02212.18	Dynamin GTPase effector domain	1
OG0003622	PF05623.12	Protein of unknown function (DUF789)	1
OG0001116	PF04720.12	PDDEXK-like family of unknown function	1
OG0000790	PF00069.25	Protein kinase domain	0.9
OG0000790	PF07714.17	Protein tyrosine kinase	0.9
OG0004441	PF00004.29	ATPase family associated with various cellular activities (AAA)	1
OG0004441	PF00005.27	ABC transporter	1
OG0004441	PF01061.24	ABC-2 type transporter	1
OG0004441	PF01926.23	50S ribosome-binding GTPase	1
OG0004441	PF02463.19	RecF/RecN/SMC N terminal domain	1
OG0004441	PF02492.19	CobW/HypB/UreG, nucleotide-binding domain	1
OG0004441	PF03193.16	RsgA GTPase	1
OG0004441	PF03266.15	NTPase	1
OG0004441	PF03796.15	DnaB-like helicase C terminal domain	1
OG0004441	PF05496.12	Holliday junction DNA helicase RuvB P-loop domain	1
OG0004441	PF05729.12	NACHT domain	1
OG0004441	PF06414.12	Zeta toxin	1
OG0004441	PF13191.6	AAA ATPase domain	1
OG0004441	PF13238.6	AAA domain	1
OG0004441	PF13304.6	AAA domain, putative AbiEii toxin, Type IV TA system	1
OG0004441	PF13401.6	AAA domain	1
OG0004441	PF13476.6	AAA domain	1
OG0004441	PF13479.6	AAA domain	1
OG0004441	PF13481.6	AAA domain	1
OG0004441	PF13521.6	AAA domain	1
OG0004441	PF13555.6	P-loop containing region of AAA domain	1
OG0004441	PF13604.6	AAA domain	1
OG0004441	PF13671.6	AAA domain	1
OG0004441	PF14510.6	ABC-transporter N-terminal	1
OG0007560	PF00332.18	Glycosyl hydrolases family 17	1
OG0007560	PF07983.13	X8 domain	1
OG0000196	PF03171.20	2OG-Fe(II) oxygenase superfamily	0.789473684210526
OG0001357	PF00097.25	Zinc finger, C3HC4 type (RING finger)	0.9375
OG0001357	PF12678.7	RING-H2 zinc finger domain	0.9375
OG0001357	PF12906.7	RING-variant domain	0.9375
OG0001357	PF13445.6	RING-type zinc-finger	0.9375
OG0001357	PF13639.6	Ring finger domain	0.9375
OG0001357	PF13923.6	Zinc finger, C3HC4 type (RING finger)	0.9375
OG0001357	PF14634.6	zinc-RING finger domain	0.9375
OG0001357	PF17120.5	Zinc-ribbon, C4HC2 type	0.9375
OG0001357	PF17123.5	RING-like zinc finger	0.9375
OG0003943	PF01544.18	CorA-like Mg2+ transporter protein	0.636363636363636
OG0003943	PF09527.10	Putative F0F1-ATPase subunit Ca2+/Mg2+ transporter	0.636363636363636
OG0000445	PF16900.5	Replication protein A OB domain	0.56
OG0004794	PF00304.20	Gamma-thionin family	1
OG0000868	PF00134.23	Cyclin, N-terminal domain	1
OG0001227	PF12056.8	Protein of unknown function (DUF3537)	1
OG0000535	PF00004.29	ATPase family associated with various cellular activities (AAA)	1
OG0000535	PF14363.6	Domain associated at C-terminal with AAA	1
OG0000105	PF08387.10	FBD	0.962264150943396
OG0002096	PF03754.13	Domain of unknown function (DUF313)	1
OG0001029	PF12552.8	Protein of unknown function (DUF3741)	1
OG0001029	PF14383.6	DUF761-associated sequence motif	1
OG0003689	PF03092.16	BT1 family	1
OG0003689	PF07690.16	Major Facilitator Superfamily	1
OG0003689	PF12821.7	Threonine/Serine exporter, ThrE	1
OG0005316	PF04194.13	Programmed cell death protein 2, C-terminal putative domain	0.888888888888889
OG0000271	PF10551.9	MULE transposase domain	0.75
OG0001480	PF02469.22	Fasciclin domain	1
OG0000301	PF10551.9	MULE transposase domain	0.5
OG0000376	PF02178.19	AT hook motif	0.222222222222222
OG0001933	PF00067.22	Cytochrome P450	1
OG0004854	PF04977.15	Septum formation initiator	0.6
OG0003717	PF00288.26	GHMP kinases N terminal domain	1
OG0003717	PF08544.13	GHMP kinases C terminal	1
OG0000563	PF07727.14	Reverse transcriptase (RNA-dependent DNA polymerase)	0.608695652173913
OG0000153	PF08646.10	Replication factor-A C terminal domain	0.404761904761905
OG0000153	PF16900.5	Replication protein A OB domain	0.404761904761905
OG0000029	PF11770.8	GRB2-binding adapter (GAPT)	0.0617283950617284
OG0000029	PF14362.6	Domain of unknown function (DUF4407)	0.0617283950617284
OG0001636	PF00060.26	Ligand-gated ion channel	1
OG0001636	PF00497.20	Bacterial extracellular solute-binding proteins, family 3	1
OG0001636	PF01094.28	Receptor family ligand binding region	1
OG0001636	PF10613.9	Ligated ion channel L-glutamate- and glycine-binding site	1
OG0001636	PF13458.6	Periplasmic binding protein	1
OG0007347	PF00847.20	AP2 domain	1
OG0000159	PF00421.19	Photosystem II protein	0.0238095238095238
OG0000159	PF02096.20	60Kd inner membrane protein	0.0238095238095238
OG0000159	PF02650.14	WhiA C-terminal HTH domain	0.0238095238095238
OG0000159	PF04513.12	Baculovirus polyhedron envelope protein, PEP, C terminus	0.0238095238095238
OG0000159	PF04780.12	Protein of unknown function (DUF629)	0.0238095238095238
OG0000159	PF07889.12	Protein of unknown function (DUF1664)	0.0238095238095238
OG0000159	PF09890.9	Uncharacterized protein conserved in archaea (DUF2117)	0.0238095238095238
OG0000159	PF15306.6	LIN37	0.0238095238095238
OG0000159	PF18289.1	CCDC81 eukaryotic HU domain 2	0.0238095238095238
OG0000159	PF18375.1	CDH1/2 SANT-Helical linker 1	0.0238095238095238
OG0004211	PF02136.20	Nuclear transport factor 2 (NTF2) domain	1
OG0001731	PF02362.21	B3 DNA binding domain	1
OG0000933	PF02990.16	Endomembrane protein 70	1
OG0000464	PF05764.13	YL1 nuclear protein	0.44
OG0001075	PF00149.28	Calcineurin-like phosphoesterase	1
OG0001075	PF01344.25	Kelch motif	1
OG0001075	PF07646.15	Kelch motif	1
OG0001075	PF13415.6	Galactose oxidase, central domain	1
OG0001075	PF13418.6	Galactose oxidase, central domain	1
OG0001075	PF13854.6	Kelch motif	1
OG0001075	PF13964.6	Kelch motif	1
OG0001075	PF16891.5	Serine-threonine protein phosphatase N-terminal domain	1
OG0006382	PF00135.28	Carboxylesterase family	1
OG0006382	PF00326.21	Prolyl oligopeptidase family	1
OG0006382	PF00561.20	alpha/beta hydrolase fold	1
OG0006382	PF07676.12	WD40-like Beta Propeller Repeat	1
OG0006382	PF07859.13	alpha/beta hydrolase fold	1
OG0006382	PF12697.7	Alpha/beta hydrolase family	1
OG0002123	PF12627.7	Probable RNA and SrmB- binding site of polymerase A	1
OG0000227	PF13976.6	GAG-pre-integrase domain	0.914285714285714
OG0000082	PF01585.23	G-patch domain	0.288135593220339
OG0001339	PF03108.15	MuDR family transposase	0.125
OG0002212	PF00046.29	Homeodomain	0.769230769230769
OG0002212	PF02791.17	DDT domain	0.769230769230769
