Family	anno.acc	anno.desc	rel.freq	size	MSA.Valdar.Score	pos.sel	divergent.aa
OG0014216	PF11272.8	Protein of unknown function (DUF3072)	1	5	0.693546871668202	FALSE	TRUE
OG0014323	PF07279.11	Protein of unknown function (DUF1442)	1	5	0.920828779169498	FALSE	TRUE
OG0014323	PF14428.6	SCP1.201-like deaminase	1	5	0.920828779169498	FALSE	TRUE
OG0014373	PF01535.20	PPR repeat	1	5	0.650107152981924	FALSE	TRUE
OG0014373	PF11848.8	Domain of unknown function (DUF3368)	1	5	0.650107152981924	FALSE	TRUE
OG0014373	PF12854.7	PPR repeat	1	5	0.650107152981924	FALSE	TRUE
OG0014373	PF13041.6	PPR repeat family	1	5	0.650107152981924	FALSE	TRUE
OG0014373	PF13812.6	Pentatricopeptide repeat domain	1	5	0.650107152981924	FALSE	TRUE
OG0014373	PF14559.6	Tetratricopeptide repeat	1	5	0.650107152981924	FALSE	TRUE
OG0014373	PF17177.4	Pentacotripeptide-repeat region of PRORP	1	5	0.650107152981924	FALSE	TRUE
OG0014903	PF01546.28	Peptidase family M20/M25/M40	1	5	0.724105019017712	FALSE	TRUE
OG0015187	PF03283.13	Pectinacetylesterase	1	5	0.726413605302034	FALSE	TRUE
OG0015295	PF04759.13	Protein of unknown function, DUF617	1	5	0.632661897059779	FALSE	TRUE
OG0015360	PF00646.33	F-box domain	1	5	0.79962392569096	FALSE	TRUE
OG0015360	PF01167.18	Tub family	1	5	0.79962392569096	FALSE	TRUE
OG0015360	PF12043.8	Domain of unknown function (DUF3527)	1	5	0.79962392569096	FALSE	TRUE
OG0015360	PF12937.7	F-box-like	1	5	0.79962392569096	FALSE	TRUE
OG0015591	PF00933.21	Glycosyl hydrolase family 3 N terminal domain	1	5	0.759240998647603	FALSE	TRUE
OG0015591	PF01915.22	Glycosyl hydrolase family 3 C-terminal domain	1	5	0.759240998647603	FALSE	TRUE
OG0015591	PF14310.6	Fibronectin type III-like domain	1	5	0.759240998647603	FALSE	TRUE
OG0016477	PF06708.11	Protein of unknown function (DUF1195)	1	4	0.745047388420137	FALSE	TRUE
